dataset,model,method,trial,val_id_mae,report_mae_E2,hparams,error
gfp,cnn,mean_teacher,1,0.4871530700922012,1.1138115608096122,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.8483776441256582, ""ema_decay"": 0.99, ""rampup_epochs"": 10, ""consistency_on_source"": true}}}",
gfp,cnn,mean_teacher,2,0.4941399667263031,1.2051768248677255,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.19855939598577305, ""ema_decay"": 0.999, ""rampup_epochs"": 5, ""consistency_on_source"": true}}}",
gfp,cnn,fixmatch,0,0.49450854206085204,1.2164296944737434,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.24933618115699294, ""strong_noise_sigma"": 0.15065692939051073, ""keep_ratio"": 0.8233872455860411, ""mc_passes"": 10, ""rampup_epochs"": 5}}}",
gfp,cnn,fixmatch,1,0.5008656933307648,1.230234061062336,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.5541459766501432, ""strong_noise_sigma"": 0.14407667426803986, ""keep_ratio"": 0.8098952666406718, ""mc_passes"": 10, ""rampup_epochs"": 10}}}",
gfp,cnn,fixmatch,2,0.6251007095575333,1.0808453516364098,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.6705316181355114, ""strong_noise_sigma"": 0.1794443404354773, ""keep_ratio"": 0.5635890285991134, ""mc_passes"": 5, ""rampup_epochs"": 5}}}",
gfp,lstm,cmd,0,0.6249644725322724,1.0818229939341546,"{""training"": {""lambda_cmd"": 0.49766055128742287, ""cmd_n_moments"": 7}}",
gfp,lstm,cmd,1,0.6246493146419525,1.0819125846028328,"{""training"": {""lambda_cmd"": 0.32249447703302864, ""cmd_n_moments"": 3}}",
gfp,lstm,cmd,2,0.6238649057149888,1.0821511146426201,"{""training"": {""lambda_cmd"": 0.0362337098709367, ""cmd_n_moments"": 7}}",
gfp,lstm,adabn,0,0.6410620666742325,1.0767287576794624,{},
gfp,lstm,pseudo_labeling,0,0.6298914777040482,1.0804306508898736,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.6306136302047706, ""lambda_pseudo_max"": 0.12335453525154272, ""rampup_epochs"": 5, ""mc_passes"": 10, ""retrain_from_scratch"": true}}}",
gfp,lstm,pseudo_labeling,1,0.6058091276884079,1.088080920279026,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.4480872518496712, ""lambda_pseudo_max"": 0.9164847769169163, ""rampup_epochs"": 5, ""mc_passes"": 20, ""retrain_from_scratch"": true}}}",
gfp,lstm,pseudo_labeling,2,0.6048869459629059,1.0884089422821999,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.8763839212062885, ""lambda_pseudo_max"": 0.20240728886000908, ""rampup_epochs"": 5, ""mc_passes"": 20, ""retrain_from_scratch"": true}}}",
gfp,lstm,mean_teacher,0,0.62762994992733,1.0810652247071266,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.3168729821385936, ""ema_decay"": 0.99, ""rampup_epochs"": 20, ""consistency_on_source"": false}}}",
gfp,lstm,mean_teacher,1,0.6129016795158386,1.085747001707554,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.23063418746334224, ""ema_decay"": 0.99, ""rampup_epochs"": 5, ""consistency_on_source"": true}}}",
gfp,lstm,mean_teacher,2,0.613120495915413,1.0856881613135339,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.19797384659895262, ""ema_decay"": 0.99, ""rampup_epochs"": 5, ""consistency_on_source"": true}}}",
gfp,lstm,fixmatch,0,0.6177412836551667,1.0841367607712746,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.8903920520486104, ""strong_noise_sigma"": 0.1058991090164632, ""keep_ratio"": 0.4155747493239844, ""mc_passes"": 10, ""rampup_epochs"": 5}}}",
gfp,lstm,fixmatch,1,0.6265757265090942,1.081357246696949,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.12464754921910157, ""strong_noise_sigma"": 0.08576385714077683, ""keep_ratio"": 0.5920037437706966, ""mc_passes"": 5, ""rampup_epochs"": 20}}}",
gfp,lstm,fixmatch,2,0.6165982166528702,1.0845097388625144,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.8495194153547813, ""strong_noise_sigma"": 0.07355420004563676, ""keep_ratio"": 0.7839865283890914, ""mc_passes"": 10, ""rampup_epochs"": 10}}}",
